Name,Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,Burnout_rate
Resource 2010,F,19,4,Single,Franklin,R&D,Conceptual,0,0,64,2,3,6,type3,3,4,,-0.4537,2,3,6,3,0.4898
Resource 2011,M,34,3,Single,Springfield,Production,Directive,11,4,43,1,2,8,type2,4,3,1.6081,0.7075,2,1,8,3,0.0428
Resource 2012,M,36,4,Married,Lebanon,Operarions,Analytical,8,4,49,1,2,8,type2,1,4,-0.1048,1.8688,2,3,5,5,0.0929
Resource 2013,M,45,4,Married,Washington,Purchasing,Directive,11,1,58,2,3,5,type2,1,1,-0.1048,-0.4537,3,3,5,1,0.1277
Resource 2014,M,49,5,Married,Lebanon,Accounting and Finance,Conceptual,14,1,29,0,1,3,type2,3,3,0.7516,0.7075,1,4,8,3,0.0059
Resource 2015,F,20,5,Single,Lebanon,IT,Directive,1,1,23,1,2,7,type3,5,4,,-2.7762,2,2,7,3,0.0861
Resource 2016,F,32,4,Married,Springfield,Sales,Conceptual,3,1,41,1,4,7,type2,2,3,-0.9612,-2.7762,,2,8,4,0.1153
Resource 2017,M,60,3,Married,Springfield,Operarions,Directive,30,3,59,0,2,4,type3,3,3,-0.1048,0.7075,2,5,8,3,0.1253
Resource 2018,F,45,4,Married,Springfield,Human Resource Management,Analytical,16,3,24,1,1,4,type3,1,3,-0.1048,0.7075,2,3,7,4,0.1815
Resource 2019,F,33,4,Married,Washington,IT,Directive,9,1,69,1,2,7,type2,2,4,,0.7075,2,2,7,4,0.0571
Resource 2020,F,25,3,Single,Franklin,IT,Conceptual,6,4,21,0,3,7,type3,2,2,-1.8176,0.7075,2,1,8,3,0.0293
Resource 2021,M,52,3,Married,Lebanon,Operarions,Behavioral,19,2,61,1,3,4,type3,3,3,0.7516,0.7075,2,3,7,3,0.1628
Resource 2022,F,42,3,Married,Lebanon,Sales,Behavioral,18,3,20,0,4,8,type2,4,3,0.7516,-0.4537,2,3,8,3,0.1378
Resource 2023,F,28,5,Married,Clinton,Accounting and Finance,Directive,6,2,51,1,2,2,type2,3,4,-0.1048,-0.4537,2,4,7,3,0.0089
Resource 2024,F,33,4,Single,Lebanon,R&D,Behavioral,9,2,57,1,2,8,type3,3,4,-0.9612,-2.7762,,4,7,3,0.2287
Resource 2025,F,35,4,Married,Franklin,Operarions,Directive,13,1,57,0,2,6,type2,3,4,,-0.4537,2,3,5,3,0.172
Resource 2026,F,28,4,Married,Washington,IT,Behavioral,5,2,65,2,5,9,type2,4,3,1.6081,-1.615,2,4,6,4,0.1669
Resource 2027,F,44,1,Single,Franklin,Logistics,Behavioral,9,3,69,0,3,5,type0,3,4,1.6081,-0.4537,2,3,9,3,0.5482
Resource 2028,F,32,3,Single,Washington,Quality,Conceptual,7,1,58,0,5,3,type2,1,1,0.7516,0.7075,2,5,8,5,0.1672
Resource 2029,M,44,3,Single,Springfield,Accounting and Finance,Directive,13,4,32,0,3,4,type4,3,3,-0.1048,1.8688,,3,5,3,0.0637
Resource 2030,F,42,2,Single,Clinton,Accounting and Finance,Conceptual,7,2,26,1,3,5,type2,1,3,,-2.7762,2,3,6,3,0.1831
Resource 2031,M,33,3,Single,Lebanon,Logistics,Directive,10,2,60,1,3,5,type3,1,3,-1.8176,0.7075,2,3,7,5,0.1442
Resource 2032,M,32,4,Married,Springfield,Logistics,Analytical,3,3,28,1,4,8,type3,3,2,1.6081,0.7075,2,4,5,3,0.193
Resource 2033,M,27,3,Married,Washington,Marketing,Behavioral,5,3,66,1,2,5,type2,2,3,,-0.4537,1,3,8,3,0.0381
Resource 2034,M,56,3,Married,Franklin,Operarions,Directive,22,3,24,0,5,7,type3,3,3,,-0.4537,2,3,7,4,0.094
Resource 2035,F,25,2,Single,Franklin,R&D,Behavioral,,4,64,0,4,3,type2,1,3,-0.1048,-1.615,2,2,8,2,0.0371
Resource 2036,F,36,3,Single,Franklin,IT,Conceptual,9,1,65,1,2,8,type3,3,3,0.7516,-0.4537,2,2,8,4,0.0127
Resource 2037,F,27,2,Married,Lebanon,R&D,Behavioral,4,4,31,1,5,4,type2,4,3,0.7516,-0.4537,2,3,6,3,0.4445
Resource 2038,F,64,3,Single,Washington,Purchasing,Behavioral,30,2,72,2,1,7,type3,1,3,1.6081,0.7075,2,2,6,3,0.2106
Resource 2039,F,25,3,Single,Lebanon,Quality,Analytical,6,2,29,0,5,8,type3,4,3,-0.1048,1.8688,3,2,7,5,0.1056
Resource 2040,M,44,3,Married,Washington,Purchasing,Behavioral,14,4,69,1,5,3,type3,4,4,-0.1048,0.7075,2,2,7,3,0.1425
Resource 2041,F,26,2,Married,Springfield,Operarions,Conceptual,4,4,72,1,4,4,type2,3,3,-0.1048,-0.4537,2,2,8,4,0.115
Resource 2042,M,46,4,Single,Lebanon,IT,Behavioral,12,4,41,0,2,6,type2,2,3,0.7516,0.7075,1,3,7,3,0.1474
Resource 2043,M,19,3,Married,Springfield,Marketing,Behavioral,0,0,23,1,5,6,type2,4,5,1.6081,-0.4537,,4,6,2,0.0591
Resource 2044,F,,1,Married,Lebanon,Security,Directive,6,3,43,1,3,8,type2,2,4,0.7516,-0.4537,2,4,8,3,0.1269
Resource 2045,M,28,3,Married,Lebanon,Quality,Behavioral,4,3,52,2,2,7,type3,2,4,0.7516,-0.4537,2,2,5,2,0.1509
Resource 2046,M,26,3,Single,Lebanon,Logistics,Analytical,3,3,71,1,3,8,type2,3,3,0.7516,0.7075,2,4,7,3,0.8402
Resource 2047,F,54,3,Married,Clinton,Purchasing,Behavioral,21,2,68,1,3,1,type3,2,4,0.7516,-1.615,2,3,5,3,0.0422
Resource 2048,M,22,3,Married,Clinton,Logistics,Directive,3,2,45,2,2,8,type3,1,3,-0.1048,-0.4537,2,5,7,5,0.2803
Resource 2049,M,35,5,Single,Clinton,Logistics,Analytical,13,1,37,1,2,8,type3,3,3,-0.9612,-0.4537,2,4,9,3,0.1379
Resource 2050,F,22,3,Married,Lebanon,Operarions,Analytical,3,3,59,1,2,3,type3,3,3,0.7516,-0.4537,3,4,8,3,0.1687
Resource 2051,M,43,4,Married,Washington,Sales,Directive,11,3,69,1,1,9,type3,4,3,-0.1048,1.8688,2,4,6,3,0.1627
Resource 2052,M,52,3,Married,Lebanon,Purchasing,Conceptual,20,1,35,1,1,6,type2,1,3,-0.9612,0.7075,2,1,8,3,0.0249
Resource 2053,F,58,3,Married,Franklin,Logistics,Conceptual,28,2,30,1,2,5,type2,3,1,0.7516,0.7075,2,3,5,3,0.1512
Resource 2054,M,22,4,Married,Springfield,Operarions,Conceptual,3,2,59,2,3,9,type3,2,3,0.7516,-1.615,2,1,6,4,0.8558
Resource 2055,F,50,2,Single,Springfield,Marketing,Directive,20,4,54,1,4,8,type2,2,3,-0.9612,-0.4537,1,1,6,3,0.0991
Resource 2056,F,22,2,Married,Springfield,R&D,Analytical,3,3,45,2,4,6,type2,3,3,-0.1048,-0.4537,2,4,8,3,0.059
Resource 2057,F,25,4,Married,Springfield,Production,Conceptual,6,4,37,0,5,3,type2,2,4,-0.9612,-2.7762,2,3,8,4,0.0462
Resource 2058,F,55,3,Married,Franklin,Logistics,Conceptual,32,1,66,1,2,7,type2,3,3,0.7516,0.7075,1,4,8,3,0.1486
Resource 2059,F,55,4,Married,Lebanon,IT,Conceptual,29,4,38,0,3,8,type2,3,3,0.7516,1.8688,2,3,8,5,0.145
Resource 2060,F,44,2,Married,Clinton,Operarions,Analytical,17,1,33,0,3,8,type2,1,3,0.7516,-0.4537,2,2,7,3,0.014
Resource 2061,F,27,1,Married,Washington,Quality,Behavioral,5,4,60,1,2,6,type2,2,3,0.7516,0.7075,2,1,8,3,0.0597
Resource 2062,M,40,3,Single,Springfield,Logistics,Analytical,15,2,68,0,2,9,type3,3,4,,-0.4537,2,2,7,3,0.213
Resource 2063,F,60,3,Single,Lebanon,Purchasing,Analytical,36,1,21,1,4,7,type2,2,3,-0.1048,-0.4537,2,1,5,2,0.04
Resource 2064,F,28,5,Married,Franklin,IT,Directive,4,2,36,2,2,2,type3,1,3,0.7516,-0.4537,2,3,8,3,0.1974
Resource 2065,M,52,1,Single,Washington,Operarions,Behavioral,15,4,43,0,2,8,type2,3,4,0.7516,-0.4537,2,2,5,3,0.0502
Resource 2066,F,23,4,Married,Springfield,Production,Conceptual,4,4,49,1,3,3,type2,3,2,-1.8176,-1.615,2,3,5,1,0.0072
Resource 2067,F,22,3,Single,Franklin,Purchasing,Analytical,3,1,60,1,3,5,type2,3,2,-1.8176,0.7075,,2,6,3,0.0459
Resource 2068,F,65,1,Married,Lebanon,IT,Conceptual,39,3,57,0,2,8,type2,2,3,0.7516,0.7075,2,4,6,3,0.4912
Resource 2069,M,46,3,Married,Lebanon,Logistics,Conceptual,12,3,55,1,3,3,type2,4,3,,0.7075,2,3,9,3,0.1973
Resource 2070,M,49,4,Married,Springfield,R&D,Behavioral,23,3,74,1,2,6,type2,2,3,-0.1048,-0.4537,2,3,5,5,0.1434
Resource 2071,F,27,5,Married,Springfield,Logistics,Conceptual,4,1,30,1,3,9,type2,1,3,0.7516,0.7075,2,3,8,1,0.0895
Resource 2072,F,45,3,Married,Springfield,Production,Directive,17,2,25,1,4,6,type2,3,3,0.7516,-0.4537,2,3,5,4,0.0427
Resource 2073,F,65,3,Single,Lebanon,Purchasing,Directive,33,4,54,1,2,8,type2,3,4,-1.8176,0.7075,2,2,8,5,0.1017
Resource 2074,M,,1,Single,Franklin,IT,Directive,18,1,38,1,5,5,type2,1,2,,0.7075,1,2,6,3,0.2523
Resource 2075,F,62,4,Married,Franklin,Logistics,Conceptual,32,4,69,1,3,7,type2,2,3,0.7516,-0.4537,2,3,5,3,0.6403
Resource 2076,F,52,4,Married,Lebanon,IT,Directive,15,1,37,1,2,10,type4,3,4,-1.8176,-0.4537,,2,7,1,0.102
Resource 2077,F,45,3,Married,Lebanon,Logistics,Conceptual,15,2,63,1,2,8,type3,3,3,0.7516,0.7075,1,4,8,2,0.0148
Resource 2078,M,41,3,Married,Clinton,IT,Conceptual,13,3,49,2,4,5,type3,1,5,-0.9612,0.7075,2,2,6,3,0.1739
Resource 2079,M,28,4,Married,Washington,Purchasing,Behavioral,5,1,31,1,4,6,type2,4,3,-1.8176,-0.4537,2,3,5,3,0.1282
Resource 2080,F,19,4,Married,Lebanon,Operarions,Conceptual,0,0,35,0,3,8,type3,3,3,,0.7075,2,3,7,5,0.1171
Resource 2081,M,37,4,Married,Franklin,IT,Behavioral,12,2,74,0,1,9,type3,1,3,-0.1048,1.8688,2,3,8,5,0.2841
Resource 2082,M,30,3,Single,Lebanon,Operarions,Behavioral,7,2,25,0,2,2,type3,4,1,-0.1048,-0.4537,,3,7,4,0.4083
Resource 2083,M,59,2,Married,Clinton,Purchasing,Directive,20,2,57,0,3,9,type2,1,1,0.7516,-0.4537,2,3,9,1,0.3468
Resource 2084,M,,3,Single,Franklin,Accounting and Finance,Analytical,3,2,36,1,5,5,type2,3,3,,-0.4537,2,3,7,5,0.0739
Resource 2085,M,37,4,Married,Washington,Logistics,Analytical,12,4,67,1,1,3,type2,1,3,0.7516,-1.615,,3,6,4,0.2427
Resource 2086,M,,1,Single,Springfield,IT,Conceptual,4,1,51,1,3,9,type2,4,3,0.7516,0.7075,2,3,5,3,0.1983
Resource 2087,F,20,3,Married,Lebanon,Operarions,Conceptual,1,1,64,0,1,10,type2,1,3,-0.1048,1.8688,2,2,7,3,0.2149
Resource 2088,M,23,5,Single,Lebanon,Sales,Analytical,4,1,30,0,5,6,type3,3,4,0.7516,-2.7762,2,3,5,3,0.0041
Resource 2089,M,25,4,Married,Washington,Sales,Behavioral,6,2,26,0,3,4,type2,3,1,-0.1048,0.7075,1,2,7,3,0.1519
Resource 2090,F,31,3,Single,Lebanon,Operarions,Conceptual,6,1,66,1,2,7,type2,1,4,-0.9612,-0.4537,1,2,8,3,0.1531
Resource 2091,F,21,5,Married,Springfield,Human Resource Management,Conceptual,2,1,64,0,5,10,type2,4,3,-0.9612,1.8688,2,4,8,3,0.3332
Resource 2092,F,27,3,Married,Lebanon,Human Resource Management,Analytical,5,4,57,0,4,7,type3,1,4,-0.1048,0.7075,2,3,7,3,0.2213
Resource 2093,F,32,4,Married,Lebanon,R&D,Behavioral,7,3,45,0,3,8,type2,1,4,-0.9612,1.8688,1,2,8,3,0.1484
Resource 2094,M,32,4,Married,Washington,Logistics,Analytical,9,1,38,1,4,5,type2,2,4,-0.9612,-0.4537,2,4,7,3,0.639
Resource 2095,F,58,4,Married,Franklin,IT,Analytical,21,4,28,1,4,6,type3,3,3,0.7516,-1.615,1,2,8,2,0.0119
Resource 2096,F,43,4,Single,Franklin,Accounting and Finance,Behavioral,11,3,22,1,3,6,type4,2,1,0.7516,0.7075,2,5,6,3,0.1954
Resource 2097,F,31,3,Married,Springfield,Sales,Analytical,2,2,34,0,3,7,type3,3,3,-1.8176,-0.4537,2,2,8,1,0.3743
Resource 2098,F,60,1,Married,Springfield,Quality,Analytical,33,1,33,1,4,9,type2,3,3,,0.7075,2,3,7,1,0.1124
Resource 2099,F,26,1,Single,Franklin,Logistics,Conceptual,3,2,56,0,2,8,type3,1,3,-0.1048,0.7075,2,3,8,2,0.2167
Resource 2100,F,21,4,Single,Washington,IT,Analytical,2,1,45,1,3,5,type2,3,3,-0.1048,0.7075,2,3,7,3,0.1026
Resource 2101,F,25,1,Single,Springfield,IT,Analytical,6,3,64,1,3,2,type1,2,4,0.7516,-0.4537,2,4,5,4,0.0015
Resource 2102,M,52,4,Single,Franklin,Logistics,Behavioral,25,1,24,0,5,8,type2,,3,0.7516,-0.4537,2,4,7,5,0.2981
Resource 2103,M,57,3,Single,Springfield,Accounting and Finance,Analytical,31,1,46,2,3,5,type2,4,3,0.7516,0.7075,,2,8,3,0.0521
Resource 2104,F,25,4,Married,Springfield,Logistics,Analytical,6,4,74,1,3,5,type2,1,4,0.7516,-0.4537,,1,8,3,0.0318
Resource 2105,M,26,1,Married,Clinton,Sales,Conceptual,3,2,45,2,2,7,type2,4,3,-0.1048,0.7075,1,4,9,2,0.0297
Resource 2106,M,28,4,Married,Franklin,IT,Conceptual,6,1,66,0,2,5,type3,2,1,-0.1048,0.7075,,4,8,3,0.1508
Resource 2107,M,37,5,Married,Clinton,IT,Directive,14,4,22,1,1,5,type2,5,3,0.7516,0.7075,1,2,6,4,0.2246
Resource 2108,M,65,4,Married,Springfield,R&D,Directive,35,2,44,2,4,6,type3,3,3,-1.8176,0.7075,,3,8,4,0.1329
Resource 2109,M,44,2,Single,Clinton,Logistics,Behavioral,18,2,51,1,1,9,type2,1,3,1.6081,1.8688,2,4,5,4,0.0566
Resource 2110,M,25,3,Married,Washington,R&D,Analytical,6,1,73,1,3,8,type2,4,4,-1.8176,0.7075,2,2,8,3,0.1497
Resource 2111,F,37,5,Married,Franklin,Purchasing,Analytical,15,4,57,1,2,5,type2,1,4,1.6081,0.7075,2,3,8,3,0.1622
Resource 2112,F,42,5,Married,Springfield,Human Resource Management,Conceptual,4,4,34,0,4,2,type2,1,3,-1.8176,0.7075,3,5,8,3,0.0495
Resource 2113,F,55,4,Married,Washington,Human Resource Management,Analytical,29,3,59,2,4,7,type2,4,5,,-0.4537,,2,7,3,0.1895
Resource 2114,M,38,3,Single,Washington,Security,Analytical,16,3,21,1,5,5,type4,2,3,0.7516,-0.4537,2,3,8,4,0.0974
Resource 2115,F,26,4,Married,Lebanon,Production,Conceptual,3,2,61,1,2,6,type2,2,3,0.7516,1.8688,2,3,6,4,0.1873
Resource 2116,F,19,3,Married,Washington,Operarions,Behavioral,0,0,24,2,2,2,type2,2,3,-0.1048,0.7075,1,4,8,3,0.1586
Resource 2117,M,25,4,Married,Lebanon,Operarions,Behavioral,6,2,43,1,3,9,type3,4,1,-0.9612,-0.4537,1,2,5,3,0.224
Resource 2118,M,34,3,Single,Franklin,Sales,Behavioral,6,4,47,0,2,4,type4,1,3,0.7516,-1.615,2,4,8,3,0.9143
Resource 2119,M,37,3,Married,Washington,IT,Conceptual,10,3,46,0,3,10,type2,4,3,1.6081,-0.4537,2,3,8,5,0.0314
Resource 2120,F,47,4,Married,Clinton,R&D,Directive,20,1,71,1,3,10,type2,1,4,0.7516,-0.4537,2,3,5,3,0.0207
Resource 2121,F,36,4,Married,Clinton,Human Resource Management,Behavioral,13,1,51,1,5,9,type2,3,3,0.7516,0.7075,2,4,8,3,0.0454
Resource 2122,F,21,3,Single,Lebanon,Logistics,Behavioral,2,2,34,2,3,4,type2,3,2,-0.9612,-1.615,2,2,5,3,0.0582
Resource 2123,M,59,1,Single,Springfield,R&D,Conceptual,24,4,26,1,3,4,type2,3,2,0.7516,-0.4537,1,3,8,4,0.5295
Resource 2124,M,51,4,Married,Springfield,Sales,Behavioral,18,2,52,1,4,6,type2,1,3,-0.1048,0.7075,1,3,8,3,0.1581
Resource 2125,F,47,3,Married,Lebanon,IT,Directive,,1,48,1,1,3,type2,2,3,,-0.4537,3,4,6,3,0.1673
Resource 2126,M,41,3,Married,Lebanon,IT,Directive,,4,52,1,1,6,type3,1,2,,-0.4537,,2,7,3,0.0678
Resource 2127,M,36,3,Married,Springfield,Logistics,Behavioral,12,2,24,0,1,3,type2,3,3,0.7516,-0.4537,,4,8,5,0.4688
Resource 2128,M,30,4,Married,Lebanon,Sales,Analytical,6,1,34,1,4,9,type2,1,4,-0.9612,-0.4537,2,3,7,3,0.0758
Resource 2129,F,65,3,Married,Lebanon,Logistics,Behavioral,38,3,69,1,5,9,type2,3,3,0.7516,-0.4537,2,2,8,3,0.0899
Resource 2130,M,40,3,Married,Washington,IT,Analytical,14,1,51,1,3,6,type3,4,4,-0.9612,-0.4537,2,5,6,3,0.0514
Resource 2131,M,24,4,Married,Lebanon,Operarions,Directive,5,1,24,1,4,4,type3,4,5,-0.1048,-2.7762,2,3,8,3,0.0607
Resource 2132,M,25,2,Married,Franklin,R&D,Behavioral,6,3,33,1,2,5,type2,1,3,,0.7075,2,3,5,3,0.0976
Resource 2133,M,56,2,Married,Lebanon,Human Resource Management,Conceptual,33,2,24,1,3,8,type2,3,3,-0.1048,-0.4537,3,2,9,5,0.3726
Resource 2134,F,28,3,Married,Lebanon,IT,Conceptual,5,4,30,1,3,6,type2,3,3,0.7516,-0.4537,2,2,9,2,0.0561
Resource 2135,M,33,4,Married,Clinton,IT,Conceptual,9,2,24,2,4,5,type2,4,3,0.7516,-0.4537,2,5,7,4,0.1787
Resource 2136,M,47,1,Married,Lebanon,IT,Behavioral,22,4,62,1,3,5,type3,1,3,-1.8176,0.7075,2,3,7,3,0.1511
Resource 2137,F,22,3,Married,Lebanon,Human Resource Management,Behavioral,3,3,33,0,2,5,type2,1,3,1.6081,0.7075,2,3,6,5,0.0079
Resource 2138,F,43,4,Single,Franklin,Human Resource Management,Analytical,10,4,48,2,2,7,type2,2,4,-0.1048,-0.4537,2,2,7,3,0.0321
Resource 2139,M,56,4,Married,Franklin,Sales,Conceptual,29,1,61,2,4,7,type2,2,2,0.7516,-0.4537,2,4,8,3,0.239
Resource 2140,F,47,3,Married,Washington,IT,Directive,18,3,70,0,3,4,type2,2,4,-0.1048,-1.615,2,3,8,1,0.5773
Resource 2141,F,38,1,Married,Franklin,IT,Conceptual,16,3,36,1,3,4,type1,1,3,-0.9612,1.8688,2,2,7,1,0.2165
Resource 2142,M,22,4,Married,Springfield,Security,Directive,3,3,66,1,5,7,type2,3,5,0.7516,-1.615,2,3,6,3,0.1324
Resource 2143,M,61,1,Single,Lebanon,R&D,Directive,36,1,70,1,5,8,type1,3,3,-0.1048,0.7075,2,1,7,3,0.014
Resource 2144,M,32,3,Married,Washington,Sales,Conceptual,4,3,59,0,3,6,type2,1,1,-0.1048,0.7075,2,3,7,3,0.17
Resource 2145,M,23,1,Married,Springfield,Logistics,Directive,4,3,37,1,3,8,type2,2,3,1.6081,-1.615,2,5,8,3,0.0585
Resource 2146,M,26,3,Married,Franklin,Logistics,Directive,3,2,61,0,2,5,type2,3,3,0.7516,-0.4537,2,4,8,3,0.0104
Resource 2147,F,47,1,Married,Lebanon,Accounting and Finance,Analytical,10,4,27,2,3,5,type3,1,3,0.7516,0.7075,2,4,8,2,0.0291
Resource 2148,M,37,1,Single,Franklin,R&D,Directive,15,1,21,1,1,3,type2,4,5,,-0.4537,2,1,7,3,0.0686
Resource 2149,F,48,3,Married,Springfield,Marketing,Analytical,26,4,70,0,4,6,type2,2,4,0.7516,-0.4537,2,4,7,4,0.2669
Resource 2150,F,26,3,Married,Lebanon,Logistics,Conceptual,4,4,51,1,3,5,type2,4,2,-0.1048,0.7075,,2,5,3,0.1323
Resource 2151,F,35,4,Single,Franklin,Logistics,Directive,,1,50,1,2,7,type2,4,4,-0.1048,-0.4537,2,4,8,5,0.2597
Resource 2152,M,32,3,Single,Franklin,IT,Directive,5,4,48,1,1,3,type2,3,2,-0.9612,-0.4537,3,3,7,5,0.142
Resource 2153,F,45,2,Married,Washington,IT,Directive,14,4,67,0,3,7,type3,1,3,0.7516,-0.4537,,3,9,3,0.0902
Resource 2154,M,31,3,Single,Washington,Logistics,Directive,5,2,35,1,2,8,type3,1,3,-1.8176,0.7075,2,1,9,3,0.0354
Resource 2155,M,45,4,Married,Clinton,IT,Conceptual,7,1,65,1,2,5,type3,3,3,-0.9612,-0.4537,1,2,8,3,0.0819
Resource 2156,M,46,4,Single,Clinton,Purchasing,Behavioral,15,4,73,0,3,8,type3,3,3,0.7516,-0.4537,3,1,5,3,0.1739
Resource 2157,F,60,5,Single,Lebanon,Human Resource Management,Conceptual,22,1,66,1,4,7,type3,1,3,-0.1048,-0.4537,2,4,9,5,0.0547
Resource 2158,F,31,1,Married,Lebanon,Operarions,Behavioral,3,3,21,1,3,9,type0,3,4,0.7516,0.7075,2,3,7,3,0.2683
Resource 2159,F,49,2,Married,Franklin,Production,Behavioral,23,4,20,0,2,8,type3,2,4,0.7516,0.7075,2,3,6,3,0.0161
Resource 2160,F,20,3,Married,Springfield,IT,Behavioral,1,1,21,0,2,1,type3,3,3,0.7516,-0.4537,1,3,7,5,0.2111
Resource 2161,F,23,5,Married,Franklin,Sales,Analytical,4,1,56,1,4,4,type2,2,3,,1.8688,2,2,8,4,0.2454
Resource 2162,M,52,3,Married,Lebanon,Operarions,Analytical,18,3,62,2,3,2,type2,1,3,1.6081,-0.4537,2,3,8,5,0.1726
Resource 2163,F,23,3,Married,Lebanon,Logistics,Conceptual,4,3,50,1,3,7,type0,4,3,0.7516,0.7075,2,3,7,3,0.1715
Resource 2164,F,38,5,Married,Springfield,R&D,Conceptual,10,3,39,1,3,8,type3,3,3,-0.9612,0.7075,,3,5,3,0.017
Resource 2165,F,26,3,Married,Lebanon,Human Resource Management,Conceptual,4,2,46,0,4,5,type3,4,3,-1.8176,-0.4537,2,5,7,5,0.0942
Resource 2166,F,47,1,Single,Springfield,Logistics,Directive,9,3,29,2,3,1,type3,3,3,-0.1048,1.8688,,4,7,3,0.0779
Resource 2167,F,,4,Single,Franklin,Logistics,Directive,14,3,41,0,4,5,type2,2,4,-0.1048,-0.4537,2,2,7,3,0.1002
Resource 2168,F,38,4,Married,Springfield,Operarions,Analytical,,1,44,2,5,8,type2,3,4,1.6081,1.8688,2,1,6,3,0.0887
Resource 2169,M,33,5,Married,Lebanon,Human Resource Management,Analytical,7,3,58,0,3,9,type3,2,4,0.7516,1.8688,1,2,7,2,0.2794
Resource 2170,F,26,2,Married,Lebanon,Sales,Behavioral,3,2,50,0,2,8,type2,1,4,-1.8176,0.7075,2,2,7,2,0.0073
Resource 2171,F,42,3,Married,Lebanon,Accounting and Finance,Analytical,7,3,64,0,2,2,type3,1,3,-0.1048,-0.4537,2,4,8,1,0.0071
Resource 2172,M,45,1,Married,Springfield,IT,Conceptual,19,3,41,0,1,2,type3,3,1,0.7516,0.7075,1,3,5,4,0.0869
Resource 2173,F,58,2,Married,Springfield,Logistics,Directive,,2,34,1,3,8,type2,3,3,-0.1048,-0.4537,3,2,6,3,0.1099
Resource 2174,F,22,4,Single,Springfield,Accounting and Finance,Conceptual,3,1,44,2,4,1,type3,2,2,0.7516,0.7075,2,1,5,3,0.1468
Resource 2175,F,20,1,Married,Clinton,IT,Directive,1,1,43,1,4,4,type3,1,3,0.7516,-1.615,2,4,8,3,0.0948
Resource 2176,F,19,2,Single,Springfield,R&D,Behavioral,0,0,49,0,3,4,type2,1,3,-1.8176,0.7075,2,3,8,3,0.2516
Resource 2177,F,23,4,Married,Lebanon,Marketing,Directive,4,1,39,1,3,7,type2,1,3,-0.1048,-0.4537,,3,7,5,0.4263
Resource 2178,M,59,3,Married,Franklin,Sales,Directive,20,3,73,0,4,5,type2,1,2,0.7516,0.7075,2,4,8,4,0.1133
Resource 2179,F,47,3,Married,Franklin,Sales,Directive,15,3,38,1,2,9,type3,3,3,0.7516,0.7075,2,2,6,4,0.0969
Resource 2180,F,20,1,Married,Springfield,Logistics,Analytical,1,1,50,2,3,7,type2,3,3,0.7516,-0.4537,1,3,8,5,0.014
Resource 2181,F,39,4,Single,Clinton,R&D,Directive,14,3,69,1,4,6,type3,1,3,-0.1048,0.7075,1,3,6,3,0.2465
Resource 2182,F,35,4,Married,Lebanon,R&D,Behavioral,10,4,70,1,4,6,type4,3,4,-0.9612,-0.4537,,3,8,3,0.1056
Resource 2183,F,58,4,Married,Franklin,Sales,Conceptual,22,4,54,1,4,2,type2,3,3,,-0.4537,2,1,8,3,0.062
Resource 2184,F,64,5,Single,Lebanon,Human Resource Management,Behavioral,32,3,49,2,3,3,type2,2,4,0.7516,0.7075,2,1,7,3,0.1491
Resource 2185,F,45,5,Married,Washington,Logistics,Conceptual,10,3,28,1,5,6,type3,3,3,-0.1048,0.7075,2,3,8,5,0.187
Resource 2186,M,52,1,Single,Washington,Logistics,Conceptual,26,4,60,1,4,9,type3,2,3,0.7516,-0.4537,2,1,8,4,0.102
Resource 2187,M,61,3,Single,Lebanon,Operarions,Directive,36,1,73,2,2,5,type3,1,4,-1.8176,0.7075,2,4,6,3,0.2554
Resource 2188,M,55,5,Single,Franklin,Logistics,Behavioral,25,4,51,0,3,6,type2,2,3,-0.1048,0.7075,2,3,8,1,0.133
Resource 2189,F,21,3,Married,Clinton,Sales,Behavioral,2,2,59,1,5,9,type3,3,2,-0.1048,-0.4537,1,3,5,3,0.2513
Resource 2190,F,23,3,Married,Lebanon,Sales,Behavioral,4,4,20,1,3,10,type2,2,4,0.7516,-0.4537,2,3,9,3,0.0202
Resource 2191,F,19,3,Single,Franklin,R&D,Conceptual,0,0,23,2,3,7,type3,3,3,0.7516,-0.4537,2,3,8,3,0.6712
Resource 2192,F,46,3,Married,Franklin,R&D,Analytical,12,1,28,1,3,5,type2,4,3,-0.9612,-0.4537,1,2,5,5,0.1813
Resource 2193,F,28,5,Married,Washington,Sales,Analytical,6,2,67,0,5,4,type2,1,3,0.7516,-0.4537,2,2,5,4,0.3221
Resource 2194,F,59,5,Married,Franklin,Purchasing,Conceptual,21,3,37,1,3,8,type2,2,3,0.7516,1.8688,3,2,8,2,0.23
Resource 2195,F,61,3,Married,Franklin,Accounting and Finance,Behavioral,30,4,40,0,2,7,type3,3,3,0.7516,-0.4537,2,4,5,3,0.2553
Resource 2196,F,47,1,Single,Washington,Accounting and Finance,Conceptual,,4,47,1,5,8,type2,2,5,-0.1048,-0.4537,3,1,6,2,0.7177
Resource 2197,M,59,4,Single,Lebanon,Logistics,Analytical,27,1,46,1,5,7,type3,3,3,-0.1048,-1.615,3,2,5,5,0.1125
